192.71.219.253 - - [02/Nov/2015:14:48:08 +0100] "GET /js/jquery.fittext.js HTTP/1.1" 200 1358 "http://400contacts.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.71.219.253 - - [02/Nov/2015:14:48:08 +0100] "GET /js/wow.min.js HTTP/1.1" 200 8467 "http://400contacts.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.71.219.253 - - [02/Nov/2015:14:48:08 +0100] "GET /js/creative.js HTTP/1.1" 200 1555 "http://400contacts.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.71.219.253 - - [02/Nov/2015:14:48:08 +0100] "GET /font-awesome/fonts/fontawesome-webfont.eot? HTTP/1.1" 200 61067 "http://400contacts.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.71.219.253 - - [02/Nov/2015:14:48:08 +0100] "GET /img/haganotext.jpeg HTTP/1.1" 200 2344037 "http://400contacts.com/" "Mozilla/5.0 (Windows NT 6.1; WOW64; Trident/7.0; rv:11.0) like Gecko"
192.71.219.253 - - [02/Nov/2015:14:48:09 +0100] "GET /img/400contactsfavicon.png HTTP/1.1" 200 1540 "-" "Mozilla/5.0 (Windows NT 6.1; Win64; x64; Trident/7.0; rv:11.0) like Gecko"
94.18.225.106 - - [02/Nov/2015:14:56:53 +0100] "GET / HTTP/1.1" 200 14317 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
94.18.225.106 - - [02/Nov/2015:14:56:53 +0100] "GET /css/creative.css HTTP/1.1" 200 9971 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
94.18.225.106 - - [02/Nov/2015:14:56:53 +0100] "GET /img/makersAcademyLogo.png HTTP/1.1" 200 9193 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
94.18.225.106 - - [02/Nov/2015:14:56:53 +0100] "GET /font-awesome/css/font-awesome.min.css HTTP/1.1" 200 24018 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
94.18.225.106 - - [02/Nov/2015:14:56:53 +0100] "GET /css/bootstrap.min.css HTTP/1.1" 200 117431 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
94.18.225.106 - - [02/Nov/2015:14:56:53 +0100] "GET /css/animate.min.css HTTP/1.1" 200 53872 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
94.18.225.106 - - [02/Nov/2015:14:56:53 +0100] "GET /js/jquery.js HTTP/1.1" 200 96072 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
94.18.225.106 - - [02/Nov/2015:14:56:54 +0100] "GET /js/bootstrap.min.js HTTP/1.1" 200 35738 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
94.18.225.106 - - [02/Nov/2015:14:56:54 +0100] "GET /js/jquery.easing.min.js HTTP/1.1" 200 5849 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
94.18.225.106 - - [02/Nov/2015:14:56:54 +0100] "GET /js/jquery.fittext.js HTTP/1.1" 200 1358 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
94.18.225.106 - - [02/Nov/2015:14:56:54 +0100] "GET /js/wow.min.js HTTP/1.1" 200 8467 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
94.18.225.106 - - [02/Nov/2015:14:56:54 +0100] "GET /js/creative.js HTTP/1.1" 200 1555 "http://400contacts.com/" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
94.18.225.106 - - [02/Nov/2015:14:56:55 +0100] "GET /font-awesome/fonts/fontawesome-webfont.woff2?v=4.3.0 HTTP/1.1" 200 57061 "http://400contacts.com/font-awesome/css/font-awesome.min.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
94.18.225.106 - - [02/Nov/2015:14:56:55 +0100] "GET /img/haganotext.jpeg HTTP/1.1" 200 2344037 "http://400contacts.com/css/creative.css" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_10_5) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/45.0.2454.101 Safari/537.36"
52.4.29.156 - - [02/Nov/2015:14:57:06 +0100] "GET / HTTP/1.1" 206 4424 "-" "Slackbot-LinkExpanding 1.0 (+https://api.slack.com/robots)"
52.23.208.121 - - [02/Nov/2015:14:57:06 +0100] "GET / HTTP/1.1" 206 4428 "-" "Slackbot-LinkExpanding 1.0 (+https://api.slack.com/robots)"
